Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1419895,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
1431944,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1439830,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
1460017,0CF00417,true,Rx,0,8,FF,FF,FF,B8,12,FF,FF,FF,
1480029,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
1482192,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1499815,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
1519855,0CF00417,true,Rx,0,8,FF,FF,FF,B7,12,FF,FF,FF,
1531931,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1539761,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
1560023,0CF00417,true,Rx,0,8,FF,FF,FF,BD,12,FF,FF,FF,
1579759,0CF00417,true,Rx,0,8,FF,FF,FF,C2,12,FF,FF,FF,
1582169,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1601725,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
1620082,0CF00417,true,Rx,0,8,FF,FF,FF,C0,12,FF,FF,FF,
1632178,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1639760,0CF00417,true,Rx,0,8,FF,FF,FF,BA,12,FF,FF,FF,
1660757,0CF00417,true,Rx,0,8,FF,FF,FF,B5,12,FF,FF,FF,
1680383,1CDEEE17,true,Rx,0,8,FC,FF,FF,FF,FF,FF,FF,FF,
1680388,0CF00417,true,Rx,0,8,FF,FF,FF,B1,12,FF,FF,FF,
1682022,0CFE6CEE,true,Rx,0,8,38,1F,7F,C0,00,00,00,00,
1703136,0CF00417,true,Rx,0,8,FF,FF,FF,B4,12,FF,FF,FF,
