Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
28681889,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28682966,18FDA521,true,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
28683516,18FF3321,true,Rx,0,8,CB,17,88,13,00,00,00,00,
28684328,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28684884,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28685437,18FF3821,true,Rx,0,8,FF,FF,FF,FF,F3,04,FF,FC,
28685990,18FF3117,true,Rx,0,8,10,00,00,00,00,00,AE,80,
28686543,18FF3921,true,Rx,0,8,31,5E,9E,66,4E,20,20,20,
28687102,18FFC017,true,Rx,0,8,00,FD,FF,FF,FF,FF,FF,FF,
28687654,18FF3A21,true,Rx,0,8,16,7C,09,00,38,15,00,00,
28688204,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28688761,18FF3C21,true,Rx,0,8,FF,FF,38,00,00,C0,01,00,
28689306,18FF3D21,true,Rx,0,8,05,00,00,E0,FF,FF,FF,FF,
28690124,18FF4090,true,Rx,0,8,00,00,00,00,00,00,00,00,
28690683,18FF4190,true,Rx,0,8,00,00,00,00,00,00,00,00,
28691230,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28691796,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28692341,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28692905,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28696471,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28699553,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28701646,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28703211,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28703829,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28705956,18FF3117,true,Rx,0,8,10,00,00,00,00,00,B4,80,
28709572,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28719055,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28720495,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28721863,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28723199,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28723762,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28725950,18FF3117,true,Rx,0,8,10,00,00,00,00,00,AE,80,
28729571,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28733216,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28733782,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28737407,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28737412,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28737418,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28740628,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28741781,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28743148,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28743706,18FF56FB,true,Rx,0,8,00,00,00,00,00,00,00,00,
28744542,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28745880,18FF3117,true,Rx,0,8,10,00,00,00,00,00,B4,80,
28749610,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28757062,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28759865,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28761820,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28763115,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28763788,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28765903,18FF3117,true,Rx,0,8,00,00,00,00,00,00,B4,80,
28771844,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28777601,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28779420,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28781842,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28783158,18FDA521,true,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
28783710,18FF3321,true,Rx,0,8,CB,17,88,13,00,00,00,00,
28784332,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28784688,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28785345,18FF3821,true,Rx,0,8,FF,FF,FF,FF,F3,04,FF,FC,
28786024,18FEDA17,true,Rx,0,8,30,33,2E,31,38,2E,32,33,
28786575,18FF3921,true,Rx,0,8,31,5E,9E,66,4E,20,20,20,
28787135,18FF3117,true,Rx,0,8,05,00,00,00,00,00,B4,80,
28787698,18FF3A21,true,Rx,0,8,16,7C,09,00,38,15,00,00,
28788244,18FFC017,true,Rx,0,8,00,FD,FF,FF,FF,FF,FF,FF,
28788807,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28789352,18FF3C21,true,Rx,0,8,FF,FF,38,00,00,C0,01,00,
28789907,18FF3D21,true,Rx,0,8,05,00,00,E0,FF,FF,FF,FF,
28790458,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28791005,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28791555,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28792367,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28797853,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28800004,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28801976,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28803101,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28803651,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28805750,18FF3117,true,Rx,0,8,05,00,00,00,00,00,AE,80,
28809462,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28814633,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28821024,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28821959,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28823128,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28823935,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28825767,18FF3117,true,Rx,0,8,05,00,00,00,00,00,AE,80,
28829614,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28833258,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28833821,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28834367,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28834925,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28838387,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28840551,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28842139,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28843204,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28843776,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28845870,18FF3117,true,Rx,0,8,05,00,00,00,00,00,AE,80,
28849493,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28855049,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28857520,18FF50FB,true,Rx,0,8,58,00,00,00,00,00,00,01,
28859952,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28862109,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28863257,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28863852,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28865772,18FF3117,true,Rx,0,8,05,00,00,00,00,00,A8,80,
28871855,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28874821,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28879831,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28882051,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28883120,18FDA521,true,Rx,0,4,FF,FF,FF,FF,00,00,00,00,
28883679,18FF3321,true,Rx,0,8,CA,17,88,13,00,00,00,00,
28884224,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28884783,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28885325,18FF3821,true,Rx,0,8,FF,FF,FF,FF,F3,04,FF,FC,
28885892,18FF3117,true,Rx,0,8,05,00,00,00,00,00,B4,80,
28886437,18FF3921,true,Rx,0,8,31,5E,9E,66,4E,20,20,20,
28887256,18FFC017,true,Rx,0,8,00,FD,FF,FF,FF,FF,FF,FF,
28887821,18FF3A21,true,Rx,0,8,16,7C,09,00,38,15,00,00,
28888364,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28888924,18FF3C21,true,Rx,0,8,FF,FF,38,00,00,C0,01,00,
28889478,18FF3D21,true,Rx,0,8,05,00,00,E0,FF,FF,FF,FF,
28890033,18FF4090,true,Rx,0,8,00,00,00,00,00,00,00,00,
28890584,18FF4190,true,Rx,0,8,00,00,00,00,00,00,00,00,
28891139,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28891700,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28892245,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28892804,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28897942,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28899561,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28901925,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28903244,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28903811,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28905902,18FF3117,true,Rx,0,8,15,00,00,00,00,00,B4,80,
28910024,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28914708,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
28921185,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28922178,0CFE6CEE,true,Rx,0,8,38,0F,7F,C0,00,00,00,00,
28923141,18FF3521,true,Rx,0,8,00,11,00,01,00,10,FF,00,
28923799,18FF3621,true,Rx,0,8,00,04,00,00,00,00,00,00,
28925754,18FF3117,true,Rx,0,8,15,00,00,00,00,00,B4,80,
28929597,0CF00400,true,Rx,0,8,00,7D,7D,00,00,FF,F0,FF,
28932992,18EAEE21,true,Rx,0,3,6B,FE,00,00,00,00,00,00,
28933545,18FF3B21,true,Rx,0,8,04,00,00,00,4B,00,00,FF,
28934105,18FFAA21,true,Rx,0,8,E9,00,15,59,FF,15,00,FF,
28934657,18FFAB21,true,Rx,0,8,E9,00,00,00,00,00,00,01,
28935202,18FFAC21,true,Rx,0,8,E9,00,00,00,00,00,00,00,
28938863,18FEBF0B,true,Rx,0,8,00,00,7D,7D,7D,7D,7D,7D,
